指标名称,中国:北京:中原领先指数,中国:北京:二手房出售挂牌价指数,中国:北京:二手房出售挂牌量指数,中国:北京:中原报价指数,中国:北京:成交面积(签约):二手房:住宅,中国:北京:成交套数(签约):二手房:住宅,中国:北京:成交套均面积(签约):二手房:住宅,中国:北京:二手住宅租金指数,中国:北京:租金回报率:二手住宅,中国:北京:可售面积:商品房:住宅,中国:北京:批准预售面积:商品房:住宅,中国:北京:供应土地规划建筑面积:住宅类用地,中国:北京:成交土地规划建筑面积:住宅类用地,中国:上海:中原领先指数,中国:上海:二手房出售挂牌价指数,中国:上海:二手房出售挂牌量指数,中国:上海:中原报价指数,中国:上海:成交面积:二手房,中国:上海:成交套数:二手房,中国:上海:成交套均面积:二手房,中国:上海:二手住宅租金指数,中国:上海:租金回报率:二手住宅,中国:上海:可售面积:商品房:住宅,中国:上海:批准预售面积:商品房:住宅,中国:上海:供应土地规划建筑面积:住宅类用地,中国:上海:成交土地规划建筑面积:住宅类用地,中国:深圳:中原领先指数,中国:深圳:二手房出售挂牌价指数,中国:深圳:二手房出售挂牌量指数,中国:深圳:中原报价指数,中国:深圳:成交面积:二手房:住宅,中国:深圳:成交套数:二手房:住宅,中国:深圳:成交套均面积:二手房:住宅,中国:深圳:二手住宅租金指数,中国:深圳:租金回报率:二手住宅,中国:深圳:可售面积:商品房:住宅,中国:深圳:批准预售面积:商品房:住宅,中国:深圳:供应土地规划建筑面积:住宅类用地,中国:深圳:成交土地规划建筑面积:住宅类用地,中国:广州:中原领先指数,中国:广州:二手房出售挂牌价指数,中国:广州:二手房出售挂牌量指数,中国:广州:中原报价指数,中国:广州:成交面积:二手房:住宅,中国:广州:成交套数:二手房:住宅,中国:广州:成交套均面积::二手房:住宅,中国:广州:二手住宅租金指数,中国:广州:租金回报率:二手住宅,中国:广州:可售面积:商品房:住宅,中国:广州:批准预售面积:商品房:住宅,中国:广州:供应土地规划建筑面积:住宅类用地,中国:广州:成交土地规划建筑面积:住宅类用地,上海:城镇常住居民人均可支配收入:累计同比,广东:深圳:居民人均可支配收入:同比,广东:广州:城镇居民人均可支配收入:累计同比,北京:城镇居民人均可支配收入:累计同比,中国:个人住房公积金贷款利率:5年以上,中国:金融机构人民币贷款加权平均利率:个人住房贷款,中国:消费者信心指数:就业,中国:消费者信心指数:收入,中国:消费者信心指数:预期,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:居住:租赁房房租:当月同比,中国:CPI:居住:租赁房房租:环比
2014-12-16,,,,,,,,,,1166.5858,,,,,,,,,,,,,1326.33,,,,,,,,,,,,,4717080.14,,,,,,,,,,,,,9991649.0566,,,,,,,,,,,,,,,,
2014-12-17,,,,,,,,,,1164.3539,,,,,,,,,,,,,1330.06,,,,,,,,,,,,,4677550.35,,,,,,,,,,,,,9993458.619,,,,,,,,,,,,,,,,
2014-12-18,,,,,,,,,,1163.4189,,,,,,,,,,,,,1331.33,,,,,,,,,,,,,4682111.92,,,,,,,,,,,,,9961802.8738,,,,,,,,,,,,,,,,
2014-12-19,,,,,,,,,,1165.8187,,,,,,,,,,,,,1338.85,,,,,,,,,,,,,4761621,,,,,,,,,,,,,1.0093745836E7,,,,,,,,,,,,,,,,
2014-12-20,,,,,,,,,,1139.512,,,,,,,,,,,,,1335.88,,,,,,,,,,,,,4719766.09,,,,,,,,,,,,,1.00268542384E7,,,,,,,,,,,,,,,,
2014-12-21,,,,,274643.851,3141,87.43834797835085,,,1150.9853,,,,,,,,,,,,,1331.73,,,,,,,,158353.38,1865,84.90797855227882,,,4692977.37,,,,,,,,,,,,,9992780.712,,,,,,,,,,,,,,,,
2014-12-22,,,,37.8,,,,,,1147.4073,,,,,,,31.5,,,,,,1329.7,,,,,,,21.81,,,,,,4657464.33,,,,,,,37.23,,,,,,1.00068764547E7,,,,,,,,,,,,,,,,
2014-12-23,,,,,,,,,,1143.9402,,,,,,,,,,,,,1335.81,,,,,,,,,,,,,4633095.9,,,,,,,,,,,,,9941041.774,,,,,,,,,,,,,,,,
2014-12-24,,,,,,,,,,1145.8271,,,,,,,,,,,,,1334.01,,,,,,,,,,,,,4559547.06,,,,,,,,,,,,,1.00133682632E7,,,,,,,,,,,,,,,,
2014-12-25,,,,,,,,,,1154.0958,,,,,,,,,,,,,1337.14,,,,,,,,,,,,,4606367.35,,,,,,,,,,,,,9981382.5027,,,,,,,,,,,,,,,,
2014-12-26,,,,,,,,,,1142.5158,,,,,,,,,,,,,1337.91,,,,,,,,,,,,,4685748.12,,,,,,,,,,,,,1.00671804132E7,,,,,,,,,,,,,,,,
2014-12-27,,,,,,,,,,1130.2499,,,,,,,,,,,,,1342.61,,,,,,,,,,,,,4649971.36,,,,,,,,,,,,,1.00232330272E7,,,,,,,,,,,,,,,,
2014-12-28,,,,,311576.23,3461,90.02491476451893,,,1137.861,,,,,,,,,,,,,1335.84,,,,,,,,171195.82,2037,84.04311242022582,,,4615894.12,,,,,,,,,,,,,9992870.0848,,,,,,,,,,,,,,,,
2014-12-29,,,,35.89,,,,,,1130.7975,,,,,,,29.65,,,,,,1329.17,,,,,,,24.51,,,,,,4576708.63,,,,,,,40.27,,,,,,9982301.2826,,,,,,,,,,,,,,,,
2014-12-30,,,,,,,,,,1123.0749,,,,,,,,,,,,,1329.09,,,,,,,,,,,,,4569358.96,,,,,,,,,,,,,1.00001193275E7,,,,,,,,,,,,,,,,
2014-12-31,526,,,,,,,154.6,2.01,1112.231,,79.3051,9.1332,332.1,,,,,,,191.2,2.12,1327.61,,138.9688,230.6075,429.9,,,,,,,158.3,2.47,4638506.14,,24.4067,0,462.6,,,,44.96,,,166.5,2.58,9936590.8529,108.51,97.7792,4.1584,8.8,9,8.9,8.9,4.25,6.25,,,109.10000000000001,1.5056,0.3468,2.4108,0.095
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,1334.58,,,,,,,,,,,,,4629318.9,,,,,,,,,,,,,9926744.7719,,,,,,,,,,,,,,,,
2015-01-02,,,,,,,,,,1100.5626,,,,,,,,,,,,,1333.15,,,,,,,,,,,,,4623341.21,,,,,,,,,,,,,9916388.6238,,,,,,,,,,,,,,,,
2015-01-03,,,,,,,,,,1097.8342,,,,,,,,,,,,,1331.32,,,,,,,,,,,,,4548137.61,,,,,,,,,,,,,9897093.5527,,,,,,,,,,,,,,,,
2015-01-04,,,,,235135.67,2626,89.54138233054074,,,1091.0616,,,,,,,,,,,,,1329.49,,,,,,,,127337.11,1489,85.51854264607118,,,4498521.66,,,,,,,,,,,,,9903887.8928,,,,,,,,,,,,,,,,
2015-01-05,,100,,31.57,,,,,,1087.724,,,,,100.01,,31.41,,,,,,1327.38,,,,,100.34,,26.25,,,,,,4489802.43,,,,,99.7,,39.51,,,,,,9892545.8826,,,,,,,,,,,,,,,,
2015-01-06,,,,,,,,,,1083.3387,,,,,,,,,,,,,1303.69,,,,,,,,,,,,,4492452.08,,,,,,,,,,,,,9889602.2857,,,,,,,,,,,,,,,,
2015-01-07,,,,,,,,,,1080.4474,,,,,,,,,,,,,1302.38,,,,,,,,,,,,,4392985.83,,,,,,,,,,,,,9880922.576,,,,,,,,,,,,,,,,
2015-01-08,,,,,,,,,,1078.7307,,,,,,,,,,,,,1295.9,,,,,,,,,,,,,4366616.55,,,,,,,,,,,,,9837162.2732,,,,,,,,,,,,,,,,
2015-01-09,,,,,,,,,,1086.2024,,,,,,,,,,,,,1297.14,,,,,,,,,,,,,4443815.9,,,,,,,,,,,,,9777219.0872,,,,,,,,,,,,,,,,
2015-01-10,,,,,,,,,,1081.9226,,,,,,,,,,,,,1294.43,,,,,,,,,,,,,4418511.62,,,,,,,,,,,,,9734871.8539,,,,,,,,,,,,,,,,
2015-01-11,,,,,242953.57,2702,89.91619911176906,,,1077.3824,,,,,,,,,,,,,1291.79,,,,,,,,156965.73,1831,85.72677771709448,,,4388659.91,,,,,,,,,,,,,9710349.5597,,,,,,,,,,,,,,,,
2015-01-12,,99.85,,35.91,,,,,,1075.0681,,,,,100.15,,34.28,,,,,,,,,,,100.74,,29.98,,,,,,4367495.81,,,,,99.92,,40.51,,,,,,9724353.5833,,,,,,,,,,,,,,,,
2015-01-13,,,,,,,,,,1074.1507,,,,,,,,,,,,,1291.89,,,,,,,,,,,,,4341559.84,,,,,,,,,,,,,9798578.1924,,,,,,,,,,,,,,,,
2015-01-14,,,,,,,,,,1074.986,,,,,,,,,,,,,1290.28,,,,,,,,,,,,,4325118.26,,,,,,,,,,,,,9741928.3213,,,,,,,,,,,,,,,,
2015-01-15,,,,,,,,,,1069.5896,,,,,,,,,,,,,1288.9,,,,,,,,,,,,,4306593.99,,,,,,,,,,,,,9654746.7372,,,,,,,,,,,,,,,,
2015-01-16,,,,,,,,,,,,,,,,,,,,,,,1287.08,,,,,,,,,,,,,4271360.07,,,,,,,,,,,,,9671165.3398,,,,,,,,,,,,,,,,
2015-01-17,,,,,,,,,,1087.5467,,,,,,,,,,,,,1291.85,,,,,,,,,,,,,4205603.12,,,,,,,,,,,,,9638614.6019,,,,,,,,,,,,,,,,
2015-01-18,,,,,206898.49,2318,89.257329594478,,,1081.5091,,,,,,,,,,,,,1288.83,,,,,,,,181431.38,2203,82.35650476622787,,,4190759.14,,,,,,,,,,,,,9616524.9326,,,,,,,,,,,,,,,,
2015-01-19,,100.09,,37.54,,,,,,1079.1458,,,,,100.39,,31.35,,,,,,1287.99,,,,,100.93,,31.4,,,,,,4201755.93,,,,,99.87,,43.77,,,,,,9642266.7277,,,,,,,,,,,,,,,,
2015-01-20,,,,,,,,,,1078.3119,,,,,,,,,,,,,1288.74,,,,,,,,,,,,,4126567.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,,,,,,,1075.6559,,,,,,,,,,,,,1294.12,,,,,,,,,,,,,4177663.43,,,,,,,,,,,,,9607994.6513,,,,,,,,,,,,,,,,
2015-01-22,,,,,,,,,,1081.0828,,,,,,,,,,,,,1294.58,,,,,,,,,,,,,4266005.59,,,,,,,,,,,,,9603507.1866,,,,,,,,,,,,,,,,
2015-01-23,,,,,,,,,,,,,,,,,,,,,,,1294.38,,,,,,,,,,,,,4275053.21,,,,,,,,,,,,,9591606.2771,,,,,,,,,,,,,,,,
2015-01-24,,,,,,,,,,1078.4282,,,,,,,,,,,,,1299.8,,,,,,,,,,,,,4252977.29,,,,,,,,,,,,,9550580.2147,,,,,,,,,,,,,,,,
2015-01-25,,,,,220897.49,2419,91.31768912773873,,,1075.5112,,,,,,,,,,,,,1296.05,,,,,,,,184483.71,2199,83.89436562073669,,,4236026.22,,,,,,,,,,,,,9530191.8833,,,,,,,,,,,,,,,,
2015-01-26,,100.04,,31.11,,,,,,1085.2035,,,,,100.55,,33.06,,,,,,1295.42,,,,,101.35,,31.65,,,,,,4218768.62,,,,,99.94,,38.82,,,,,,9530945.437,,,,,,,,,,,,,,,,
2015-01-27,,,,,,,,,,1091.4113,,,,,,,,,,,,,1293.94,,,,,,,,,,,,,4195525.2,,,,,,,,,,,,,9546413.1248,,,,,,,,,,,,,,,,
2015-01-28,,,,,,,,,,1089.4838,,,,,,,,,,,,,1297.27,,,,,,,,,,,,,4164676.11,,,,,,,,,,,,,9561211.935,,,,,,,,,,,,,,,,
2015-01-29,,,,,,,,,,1088.3135,,,,,,,,,,,,,1298.92,,,,,,,,,,,,,4293677.32,,,,,,,,,,,,,9592235.9824,,,,,,,,,,,,,,,,
2015-01-30,,,,,,,,,,1083.5488,,,,,,,,,,,,,1295.86,,,,,,,,,,,,,4279830.65,,,,,,,,,,,,,9707968.9864,,,,,,,,,,,,,,,,
2015-01-31,552,,100,,,,,155,1.92,1073.0206,122049.49,69.6919,143.4524,330.9,,100,,,,,191.5,2.14,1293.89,579286.94,100.268,75.022,437.1,,100,,,,,159.8,2.45,4266528.37,419830.8,0,0,465.7,,100,,42.61,,,166.7,2.56,9670602.6921,54.01,40.5712,80.2927,,,,,4.25,,,,108.99999999999999,0.7638,0.2598,2.6243,0.2442
2015-02-01,,,,,315535.06,3514,89.79369948776323,,,1065.5323,,,,,,,,,,,,,1290.92,,,,,,,,190164.62,2196,86.59591074681238,,,4244203.21,,,,,,,,,,,,,9653020.503,,,,,,,,,,,,,,,,
2015-02-02,,100.18,,30.65,,,,,,1063.9425,,,,,100.68,,30.2,,,,,,1283.38,,,,,101.57,,33.13,,,,,,4219326.11,,,,,100.09,,42.6,,,,,,9617079.5811,,,,,,,,,,,,,,,,
2015-02-03,,,,,,,,,,1067.4154,,,,,,,,,,,,,1286.09,,,,,,,,,,,,,4198281.65,,,,,,,,,,,,,9617211.5468,,,,,,,,,,,,,,,,
2015-02-04,,,,,,,,,,1063.9813,,,,,,,,,,,,,1288.83,,,,,,,,,,,,,4223743.49,,,,,,,,,,,,,9568539.1106,,,,,,,,,,,,,,,,
2015-02-05,,,,,,,,,,1058.1243,,,,,,,,,,,,,1289.22,,,,,,,,,,,,,4227508.67,,,,,,,,,,,,,9626237.4784,,,,,,,,,,,,,,,,
2015-02-06,,,,,,,,,,1058.2476,,,,,,,,,,,,,1290.15,,,,,,,,,,,,,4199581.84,,,,,,,,,,,,,9652156.7063,,,,,,,,,,,,,,,,
2015-02-07,,,,,,,,,,1055.5258,,,,,,,,,,,,,1287.36,,,,,,,,,,,,,4188076.05,,,,,,,,,,,,,9625174.7678,,,,,,,,,,,,,,,,
2015-02-08,,,,,269820.89,2967,90.94064374789349,,,1053.3317,,,,,,,,,,,,,1284.85,,,,,,,,202968.8,2288,88.71013986013986,,,4179540.95,,,,,,,,,,,,,9608005.7692,,,,,,,,,,,,,,,,
2015-02-09,,100.32,,37.25,,,,,,1051.4661,,,,,100.88,,35.04,,,,,,1282.32,,,,,102.15,,33.11,,,,,,4174032.26,,,,,100.17,,46.22,,,,,,9635855.3349,,,,,,,,,,,,,,,,
2015-02-10,,,,,,,,,,1055.4385,,,,,,,,,,,,,1281.11,,,,,,,,,,,,,4129656.46,,,,,,,,,,,,,9616477.1703,,,,,,,,,,,,,,,,
2015-02-11,,,,,,,,,,1055.0693,,,,,,,,,,,,,1285.97,,,,,,,,,,,,,4063128.55,,,,,,,,,,,,,9760967.8219,,,,,,,,,,,,,,,,
2015-02-12,,,,,,,,,,1052.8249,,,,,,,,,,,,,1289.23,,,,,,,,,,,,,4070986.02,,,,,,,,,,,,,9769675.3629,,,,,,,,,,,,,,,,
2015-02-13,,,,,,,,,,1054.3253,,,,,,,,,,,,,1287.69,,,,,,,,,,,,,4045346.94,,,,,,,,,,,,,9887543.5481,,,,,,,,,,,,,,,,
2015-02-14,,,,,,,,,,1051.2919,,,,,,,,,,,,,1296.7,,,,,,,,,,,,,4037074.47,,,,,,,,,,,,,9864909.0107,,,,,,,,,,,,,,,,
2015-02-15,,,,,320172.4,3501,91.45169951442445,,,1050.6486,,,,,,,,,,,,,1295.14,,,,,,,,187982.02,2179,86.269857732905,,,4045257.12,,,,,,,,,,,,,9912696.0019,,,,,,,,,,,,,,,,
2015-02-16,,100.09,,39.71,,,,,,1048.7389,,,,,100.86,,36.25,,,,,,1308.92,,,,,102.18,,33.43,,,,,,3801150.95,,,,,99.12,,57.75,,,,,,9985645.097,,,,,,,,,,,,,,,,
2015-02-17,,,,,,,,,,1048.0188,,,,,,,,,,,,,1308.92,,,,,,,,,,,,,3789729.85,,,,,,,,,,,,,9987551.8612,,,,,,,,,,,,,,,,
2015-02-18,,,,,,,,,,,,,,,,,,,,,,,1309.15,,,,,,,,,,,,,3789729.85,,,,,,,,,,,,,9987192.1713,,,,,,,,,,,,,,,,
2015-02-19,,,,,,,,,,,,,,,,,,,,,,,1309.19,,,,,,,,,,,,,3789729.85,,,,,,,,,,,,,9987192.1713,,,,,,,,,,,,,,,,
2015-02-20,,,,,,,,,,,,,,,,,,,,,,,1309.24,,,,,,,,,,,,,3789729.85,,,,,,,,,,,,,9986724.7419,,,,,,,,,,,,,,,,
2015-02-21,,,,,,,,,,,,,,,,,,,,,,,1309.25,,,,,,,,,,,,,3789341.95,,,,,,,,,,,,,9986613.9819,,,,,,,,,,,,,,,,
2015-02-22,,,,,23461.24,248,94.6017741935484,,,,,,,,,,,,,,,,1309.23,,,,,,,,15753.07,180,87.51705555555556,,,3788973.99,,,,,,,,,,,,,9986143.3551,,,,,,,,,,,,,,,,
2015-02-23,,100.25,,40,,,,,,,,,,,101.08,,48.57,,,,,,1309.03,,,,,101.21,,50,,,,,,3788973.99,,,,,100.15,,50,,,,,,9985239.1786,,,,,,,,,,,,,,,,
2015-02-24,,,,,,,,,,,,,,,,,,,,,,,1308.9,,,,,,,,,,,,,3786308.19,,,,,,,,,,,,,9983603.2305,,,,,,,,,,,,,,,,
2015-02-25,,,,,,,,,,1043.609,,,,,,,,,,,,,1307,,,,,,,,,,,,,3769741.69,,,,,,,,,,,,,9980691.8459,,,,,,,,,,,,,,,,
2015-02-26,,,,,,,,,,1043.2321,,,,,,,,,,,,,1301.42,,,,,,,,,,,,,3731519.75,,,,,,,,,,,,,9940116.0608,,,,,,,,,,,,,,,,
2015-02-27,,,,,,,,,,1036.3819,,,,,,,,,,,,,1300.66,,,,,,,,,,,,,3798497.58,,,,,,,,,,,,,9934780.0162,,,,,,,,,,,,,,,,
2015-02-28,556,,62.25,,,,,156.3,1.92,1034.2667,,0,39.362,332.9,,46.67,,,,,193,2.14,1297.16,592808.94,46.3084,117.7803,443,,38.47,,,,,161.3,2.44,3780297.14,36775.15,0,24.4067,458.5,,28.39,,44.06,,,165.7,2.65,9903374.7388,96.81,0,0,,,,,4.25,,,,112.99999999999999,1.4311,1.1946,1.9893,0.0209
2015-03-01,,,,,174856.31,1981,88.26668854114084,,,1030.6671,,,,,,,,,,,,,1282.25,,,,,,,,39843.03,471,84.5924203821656,,,3773198.98,,,,,,,,,,,,,9891927.8216,,,,,,,,,,,,,,,,
2015-03-02,,100.67,,26.76,,,,,,1033.3437,,,,,101.14,,41.37,,,,,,1280.61,,,,,102.76,,40.86,,,,,,3787481.25,,,,,101.03,,45.45,,,,,,9858751.3475,,,,,,,,,,,,,,,,
2015-03-03,,,,,,,,,,1030.7159,,,,,,,,,,,,,1282.84,,,,,,,,,,,,,3819572.7,,,,,,,,,,,,,9829426.6072,,,,,,,,,,,,,,,,
2015-03-04,,,,,,,,,,1028.1944,,,,,,,,,,,,,1281.63,,,,,,,,,,,,,3819880.44,,,,,,,,,,,,,9818703.7969,,,,,,,,,,,,,,,,
2015-03-05,,,,,,,,,,1027.715,,,,,,,,,,,,,1286.07,,,,,,,,,,,,,3740353.22,,,,,,,,,,,,,9807869.7236,,,,,,,,,,,,,,,,
2015-03-06,,,,,,,,,,,,,,,,,,,,,,,1289.32,,,,,,,,,,,,,3779218.9,,,,,,,,,,,,,9794202.9268,,,,,,,,,,,,,,,,
2015-03-07,,,,,,,,,,,,,,,,,,,,,,,1286.36,,,,,,,,,,,,,3773203.22,,,,,,,,,,,,,9767690.9593,,,,,,,,,,,,,,,,
2015-03-08,,,,,156824.47,1700,92.24968823529412,,,1024.6558,,,,,,,,,,,,,1284.52,,,,,,,,98826.21,1130,87.45682300884955,,,3760599.29,,,,,,,,,,,,,9752115.3211,,,,,,,,,,,,,,,,
2015-03-09,,100.85,,34.8,,,,,,,,,,,101.18,,39.61,,,,,,1279,,,,,103.72,,40.33,,,,,,3725765.79,,,,,100.9,,50.94,,,,,,9763535.1295,,,,,,,,,,,,,,,,
2015-03-10,,,,,,,,,,1038.8184,,,,,,,,,,,,,1277.43,,,,,,,,,,,,,3711377.31,,,,,,,,,,,,,9760255.5226,,,,,,,,,,,,,,,,
2015-03-11,,,,,,,,,,1038.8612,,,,,,,,,,,,,1278.24,,,,,,,,,,,,,3750598.65,,,,,,,,,,,,,9786706.0453,,,,,,,,,,,,,,,,
2015-03-12,,,,,,,,,,1036.7682,,,,,,,,,,,,,1274.78,,,,,,,,,,,,,3728919.6,,,,,,,,,,,,,9787940.8545,,,,,,,,,,,,,,,,
2015-03-13,,,,,,,,,,1034.192,,,,,,,,,,,,,1272.7,,,,,,,,,,,,,3795362.55,,,,,,,,,,,,,9773234.1479,,,,,,,,,,,,,,,,
2015-03-14,,,,,,,,,,1030.227,,,,,,,,,,,,,1268.79,,,,,,,,,,,,,3777431.99,,,,,,,,,,,,,9743618.9861,,,,,,,,,,,,,,,,
2015-03-15,,,,,125317.99,1396,89.76933381088826,,,1026.6255,,,,,,,,,,,,,1262.28,,,,,,,,134865.94,1613,83.61186608803472,,,3765991.49,,,,,,,,,,,,,9721367.885,,,,,,,,,,,,,,,,
2015-03-16,,100.94,,36.93,,,,,,1012.8149,,,,,101.29,,34.1,,,,,,1259.32,,,,,103.68,,37.09,,,,,,3770160.35,,,,,101.55,,42.97,,,,,,9710782.1609,,,,,,,,,,,,,,,,
2015-03-17,,,,,,,,,,1015.2319,,,,,,,,,,,,,1236.69,,,,,,,,,,,,,3754974.66,,,,,,,,,,,,,9684354.6979,,,,,,,,,,,,,,,,
2015-03-18,,,,,,,,,,1032.2683,,,,,,,,,,,,,1234.38,,,,,,,,,,,,,3774063.98,,,,,,,,,,,,,9693215.674,,,,,,,,,,,,,,,,
2015-03-19,,,,,,,,,,1034.967,,,,,,,,,,,,,1227.17,,,,,,,,,,,,,3774937.66,,,,,,,,,,,,,9672566.2373,,,,,,,,,,,,,,,,
2015-03-20,,,,,,,,,,1034.1483,,,,,,,,,,,,,1233.96,,,,,,,,,,,,,3762042.01,,,,,,,,,,,,,9797586.6982,,,,,,,,,,,,,,,,
2015-03-21,,,,,,,,,,1031.5271,,,,,,,,,,,,,1238.71,,,,,,,,,,,,,3753177.97,,,,,,,,,,,,,9767155.402,,,,,,,,,,,,,,,,
2015-03-22,,,,,226730.43,2544,89.1235966981132,,,1030.3551,,,,,,,,,,,,,1235.6,,,,,,,,150053.47,1788,83.92252237136465,,,3744618.97,,,,,,,,,,,,,9751195.5306,,,,,,,,,,,,,,,,
2015-03-23,,100.97,,39.05,,,,,,1032.4451,,,,,101.16,,32.02,,,,,,1235.76,,,,,105.14,,41.63,,,,,,3718606.75,,,,,100.86,,43.01,,,,,,9706714.6079,,,,,,,,,,,,,,,,
2015-03-24,,,,,,,,,,1031.0743,,,,,,,,,,,,,1246.7,,,,,,,,,,,,,3688183.02,,,,,,,,,,,,,9713774.1842,,,,,,,,,,,,,,,,
2015-03-25,,,,,,,,,,1028.794,,,,,,,,,,,,,1243.98,,,,,,,,,,,,,3665729.4,,,,,,,,,,,,,9697571.1453,,,,,,,,,,,,,,,,
2015-03-26,,,,,,,,,,1027.0921,,,,,,,,,,,,,1249.11,,,,,,,,,,,,,3654742.82,,,,,,,,,,,,,9626683.7317,,,,,,,,,,,,,,,,
2015-03-27,,,,,,,,,,1036.8425,,,,,,,,,,,,,1245.8,,,,,,,,,,,,,3638724.56,,,,,,,,,,,,,9708137.2192,,,,,,,,,,,,,,,,
2015-03-28,,,,,,,,,,1047.9064,,,,,,,,,,,,,1241.2,,,,,,,,,,,,,3610269.17,,,,,,,,,,,,,9666414.083,,,,,,,,,,,,,,,,
2015-03-29,,,,,289713.35,3248,89.19745997536945,,,1043.8403,,,,,,,,,,,,,1237.02,,,,,,,,150053.4,1802,83.27047724750277,,,3601620.22,,,,,,,,,,,,,9643925.558,,,,,,,,,,,,,,,,
2015-03-30,,101.27,,34.6,,,,,,1043.8748,,,,,101.27,,33,,,,,,1233.49,,,,,106.27,,50.9,,,,,,3593117.03,,,,,101.47,,39.4,,,,,,9652978.6025,,,,,,,,,,,,,,,,
2015-03-31,556,,87.82,,,,,160.1,1.97,1042.125,,90.022,25.8968,338.5,,70.18,,,,,194.2,2.12,1235.19,596302.98,39.9837,57.4353,460.8,,78.72,,,,,165.2,2.4,3563991.94,163573.76,0,0,452.2,,61.11,,32.15,,,167.9,2.62,9638018.6005,21.12,8.1197,0,8,,,8.4,4,6.01,,,110.30000000000001,1.3758,-0.546,2.2407,0.7741
2015-04-01,,,,,,,,,,1042.51,,,,,,,,,,,,,1236.01,,,,,,,,,,,,,3560112.7,,,,,,,,,,,,,9616136.4358,,,,,,,,,,,,,,,,
2015-04-02,,,,,,,,,,1047.1519,,,,,,,,,,,,,1234.05,,,,,,,,,,,,,3550730.85,,,,,,,,,,,,,9539524.7722,,,,,,,,,,,,,,,,
2015-04-03,,,,,,,,,,1055.7742,,,,,,,,,,,,,1234.65,,,,,,,,,,,,,3539854.7,,,,,,,,,,,,,9595870.0398,,,,,,,,,,,,,,,,
2015-04-04,,,,,,,,,,1053.0393,,,,,,,,,,,,,1240.07,,,,,,,,,,,,,3534127.32,,,,,,,,,,,,,9565650.6752,,,,,,,,,,,,,,,,
2015-04-05,,,,,292682.63,3333,87.8135703570357,,,1051.0861,,,,,,,,,,,,,1243.41,,,,,,,,163965.43,1907,85.9808232826429,,,3492813.58,,,,,,,,,,,,,9558277.4632,,,,,,,,,,,,,,,,
2015-04-06,,101.44,,41.68,,,,,,1049.9813,,,,,101.61,,45.3,,,,,,1241.97,,,,,107.75,,68.47,,,,,,3481096.65,,,,,101.25,,46.42,,,,,,9546009.1108,,,,,,,,,,,,,,,,
2015-04-07,,,,,,,,,,1048.2417,,,,,,,,,,,,,1239.9,,,,,,,,,,,,,3551327.74,,,,,,,,,,,,,9592766.9102,,,,,,,,,,,,,,,,
2015-04-08,,,,,,,,,,1051.3581,,,,,,,,,,,,,1240.72,,,,,,,,,,,,,3523416.87,,,,,,,,,,,,,9572394.3599,,,,,,,,,,,,,,,,
2015-04-09,,,,,,,,,,1050.0559,,,,,,,,,,,,,1241.75,,,,,,,,,,,,,3502979.12,,,,,,,,,,,,,9486001.7596,,,,,,,,,,,,,,,,
2015-04-10,,,,,,,,,,1047.9041,,,,,,,,,,,,,,,,,,,,,,,,,,3463692.17,,,,,,,,,,,,,9509288.1351,,,,,,,,,,,,,,,,
2015-04-11,,,,,,,,,,1050.263,,,,,,,,,,,,,1246.13,,,,,,,,,,,,,3449753.37,,,,,,,,,,,,,9471557.785,,,,,,,,,,,,,,,,
2015-04-12,,,,,239938.28,2728,87.95391495601173,,,1048.5589,,,,,,,,,,,,,1248.85,,,,,,,,108614.37,1266,85.79334123222749,,,3417808.85,,,,,,,,,,,,,9446697.9051,,,,,,,,,,,,,,,,
2015-04-13,,101.39,,40.08,,,,,,1047.7516,,,,,101.4,,44.18,,,,,,1237.93,,,,,107.99,,67.9,,,,,,3446907.86,,,,,101.49,,46.97,,,,,,9416243.3452,,,,,,,,,,,,,,,,
2015-04-14,,,,,,,,,,1048.4064,,,,,,,,,,,,,1242.38,,,,,,,,,,,,,3426123.84,,,,,,,,,,,,,9363944.0049,,,,,,,,,,,,,,,,
2015-04-15,,,,,,,,,,1044.3392,,,,,,,,,,,,,1250.14,,,,,,,,,,,,,3346002.99,,,,,,,,,,,,,9436997.0556,,,,,,,,,,,,,,,,
2015-04-16,,,,,,,,,,1053.0945,,,,,,,,,,,,,1254.22,,,,,,,,,,,,,3472304.46,,,,,,,,,,,,,9443094.773,,,,,,,,,,,,,,,,
2015-04-17,,,,,,,,,,1050.4102,,,,,,,,,,,,,1252.29,,,,,,,,,,,,,3490335.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-18,,,,,,,,,,1042.0078,,,,,,,,,,,,,1251.22,,,,,,,,,,,,,3480983.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-19,,,,,321583.1,3612,89.03186600221484,,,1040.321,,,,,,,,,,,,,1246.33,,,,,,,,201609.05,2360,85.42756355932204,,,3472638.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,,101.53,,42.83,,,,,,1040.0822,,,,,101.99,,41.86,,,,,,1246.3,,,,,110.95,,66.67,,,,,,3564565.12,,,,,101.2,,46.9,,,,,,,,,,,,,,,,,,,,,,
